date,2020-07-05,2020-07-05,2020-07-05
BIG,Consumer Defensive,NYQ,1583759488.0
BIIB,Healthcare,NMS,43264139264.0
BIL,,,
BILI,Communication Services,NMS,16642673664.0
BILL,Technology,NYQ,6950954496.0
BIMI,Healthcare,NCM,21911082.0
BIO,Healthcare,NYQ,13480870912.0
BIO B,,,
BIOC,,,
BIOL,,,
BIOX,Basic Materials,ASE,217626016.0
BIOX WS,,,
BIP,Utilities,NYQ,12054678528.0
BIPC,Financial Services,NYQ,2080793728.0
BIS,,,
BIT,Financial Services,NYQ,545045952.0
BITA,Communication Services,NYQ,1125370112.0
BIV,,,
BIZD,,,
BJ,Consumer Defensive,NYQ,5124301312.0
BJAN,,,
BJK,,,
BJRI,Consumer Cyclical,NMS,429641152.0
BJUL,,,
BJUN,,,
BK,,,
BK PRC,,,
BKAG,,,
BKCC,Financial Services,NMS,185340800.0
BKD,Healthcare,NYQ,556818560.0
BKE,Consumer Cyclical,NYQ,793001600.0
BKEM,,,
BKEP,Energy,NGM,57859068.0
BKEP P,,,
BKF,,,
BKH,Utilities,NYQ,3673367552.0
BKHY,,,
BKI,Technology,NYQ,11349858304.0
BKIE,,,
BKK,Financial Services,NYQ,303953728.0
BKLC,,,
BKLN,,,
BKMC,,,
BKN,Financial Services,NYQ,270506048.0
BKNG,Consumer Cyclical,NMS,68353781760.0
BKR,Energy,NYQ,15910208512.0
BKSB,,,
BKSC,,,
BKSE,,,
BKT,Financial Services,NYQ,397455936.0
BKTI,Technology,ASE,42602496.0
BKU,Financial Services,NYQ,1719370496.0
BKYI,,,
BL,Technology,NMS,4965967872.0
BLBD,Consumer Cyclical,NGM,384868736.0
BLCM,,,
BLCN,,,
BLD,Industrials,NYQ,3723981312.0
BLDP,Industrials,NGM,4226934528.0
BLDR,Industrials,NMS,2340382720.0
BLE,Financial Services,NYQ,348925024.0
BLES,,,
BLFS,,,
BLHY,,,
BLIN,,,
BLK,Financial Services,NYQ,83662127104.0
BLKB,Technology,NMS,2909787136.0
BLL,Consumer Cyclical,NYQ,23410202624.0
BLMN,Consumer Cyclical,NMS,890607488.0
BLNK,Consumer Cyclical,NMS,148369584.0
BLNK W,,,
BLOK,,,
BLPH,,,
BLRX,,,
BLU,,,
BLUE,Healthcare,NMS,3311299840.0
BLV,,,
BLW,Financial Services,NYQ,503024992.0
BLX,Financial Services,NYQ,442753728.0
BMA,Financial Services,NYQ,1154033920.0
BMAR,,,
BMAY,,,
BMCH,Industrials,NMS,1620403584.0
BME,Financial Services,NYQ,476587392.0
BMEZ,,NYQ,
BMI,Industrials,NYQ,1850410752.0
BML PRG,,,
BML PRH,,,
BML PRJ,,,
BML PRL,,,
BMLP,,,
BMO,Financial Services,NYQ,33929533440.0
BMRA,,,
BMRC,Financial Services,NMS,446343616.0
BMRG,,,
BMRG U,,,
BMRG WS,,,
BMRN,Healthcare,NMS,22926514176.0
BMTC,Financial Services,NMS,522661600.0
BMY,,,
BMY RT,,,
BND,,,
BNDC,,,
BNDW,,,
BNDX,,,
BNED,Consumer Cyclical,NYQ,92248416.0
BNFT,Technology,NMS,357348672.0
BNGO,Healthcare,NCM,40791080.0
BNGO W,,,
BNKD,,,
BNKO,,,
BNKU,,,
BNKZ,,,
BNO,,,
BNOV,,,
BNR,,,
BNS,Financial Services,NYQ,50310045696.0
BNSO,,,
BNTC,,,
BNTX,Healthcare,NMS,14348370944.0
BNY,Financial Services,NYQ,177642800.0
BOCH,Financial Services,NMS,121355576.0
BOCT,,,
BOE,,,
BOH,,,
BOIL,,,
BOKF,Financial Services,NMS,3768535296.0
BOKF L,,,
BOMN,Communication Services,NMS,428889824.0
BOND,,,
BOOM,Energy,NMS,406248064.0
BOOT,Consumer Cyclical,NYQ,608170688.0
BORR,,,
BOSC,,,
BOSS,,,
BOTJ,,,
BOTZ,,,
BOUT,,,
BOX,Technology,NYQ,3173408000.0
BOXL,Technology,NCM,27974602.0
BP,Energy,NYQ,79107301376.0
BPFH,Financial Services,NMS,519433792.0
BPMC,Healthcare,NMS,4289138688.0
BPMP,Energy,NYQ,1198671744.0
BPOP,,,
BPOP M,,,
BPOP N,,,
BPRN,Financial Services,NMS,133321192.0
BPT,Energy,NYQ,67624000.0
BPTH,,,
BPY,Real Estate,NMS,10547265536.0
BPYP N,,,
BPYP O,,,
BPYP P,,,
BPYU,Real Estate,NMS,641174144.0
BPYU P,,,
BQH,Financial Services,NYQ,44021212.0
BR,Technology,NYQ,14721836032.0
BRBR,Consumer Defensive,NYQ,775166272.0
BRBS,Financial Services,ASE,86193880.0
BRC,Industrials,NYQ,2374061568.0
BREW,Consumer Defensive,NMS,305493056.0
BRF,,,
BRFS,Consumer Defensive,NYQ,3095133440.0
BRG,Real Estate,ASE,191598384.0
BRG PRA,,,
BRG PRC,,,
BRG PRD,,,
BRID,Consumer Defensive,NGM,153398416.0
BRK A,,,
BRK B,,,
BRKL,,,
BRKR,Healthcare,NMS,6400544768.0
BRKS,Technology,NMS,3279325184.0
BRLI U,,,
BRMK,Real Estate,NYQ,1233916800.0
BRMK WS,,,
BRN,Energy,ASE,7389442.0
BRO,Financial Services,NYQ,11578563584.0
BROG,Energy,NMS,978609920.0
BRP,Financial Services,NMS,1299334400.0
BRPA,Financial Services,NCM,29849170.0
BRPA R,,,
BRPA W,,,
BRQS,Technology,NCM,48157560.0
BRT,Real Estate,NYQ,187394528.0
BRX,Real Estate,NYQ,3853836800.0
BRY,Energy,NMS,382042720.0
BRZU,,,
BSA,,,
BSAC,,,
BSAE,,,
BSBE,,,
BSBK,Financial Services,NCM,115786000.0
BSBR,Financial Services,NYQ,20350740480.0
BSCE,,,
BSCK,,,
BSCL,,,
BSCM,,,
BSCN,,,
BSCO,,,
BSCP,,,
BSCQ,,,
BSCR,,,
BSCS,,,
BSCT,,,
BSD,Financial Services,NYQ,96102432.0
BSDE,,,
BSE,Financial Services,NYQ,87037464.0
BSEP,,,
BSET,Consumer Cyclical,NMS,76566464.0
BSGM,,,
BSIG,Financial Services,NYQ,1023081600.0
BSJK,,,
BSJL,,,
BSJM,,,
BSJN,,,
BSJO,,,
BSJP,,,
BSJQ,,,
BSJR,,,
BSL,Financial Services,NYQ,195816224.0
BSM,Energy,NYQ,1312602112.0
BSML,,,
BSMM,,,
BSMN,,,
BSMO,,,
BSMP,,,
BSMQ,,,
BSMR,,,
BSMS,,,
BSMT,,,
BSMX,Financial Services,NYQ,4899814400.0
BSQR,,,
BSRR,,,
BST,Financial Services,NYQ,928477120.0
BSTC,Healthcare,NGM,458472384.0
BSTZ,,NYQ,1820277888.0
BSV,,,
BSVN,Financial Services,NMS,101857800.0
BSX,Healthcare,NYQ,50548469760.0
BSX PRA,,,
BTA,Financial Services,NYQ,157889760.0
BTAI,Healthcare,NCM,1054221376.0
BTAL,,,
BTE,Energy,NYQ,284489664.0
BTEC,,,
BTG,,,
BTI,Consumer Defensive,NYQ,89410600960.0
BTN,Consumer Cyclical,ASE,23149054.0
BTO,,,
BTT,,,
BTU,Energy,NYQ,268675008.0
BTYS,,,
BTZ,Financial Services,NYQ,1250749056.0
BUD,Consumer Defensive,NYQ,98791866368.0
BUG,,,
BUI,Financial Services,NYQ,368527072.0
BUL,,,
BURL,Consumer Cyclical,NYQ,12663638016.0
BUSE,,,
BUY,,,
BUYZ,,,
BV,Industrials,NYQ,1205599744.0
BVAL,,,
BVN,Basic Materials,NYQ,2318901504.0
BVXV,Healthcare,NCM,252075280.0
BW,,,
BWA,Consumer Cyclical,NYQ,7295238656.0
BWAY,Healthcare,NGM,68767816.0
BWB,,,
BWEN,,,
BWFG,,,
BWG,Financial Services,NYQ,244321280.0
BWL A,,,
BWMX,Consumer Cyclical,NCM,
BWX,,,
BWXT,Industrials,NYQ,5339467776.0
BWZ,,,
BX,Financial Services,NYQ,37727014912.0
BXC,,,
BXG,Consumer Cyclical,NYQ,371119616.0
BXMT,Real Estate,NYQ,3390308352.0
BXMX,,,
BXP,Real Estate,NYQ,14224031744.0
BXP PRB,,,
BXRX,Healthcare,NCM,70280000.0
BXS,Financial Services,NYQ,2229166848.0
BXS PRA,,,
BY,Financial Services,NYQ,484009632.0
BYD,Consumer Cyclical,NYQ,2218364928.0
BYFC,Financial Services,NMS,87201288.0
BYLD,,,
BYM,Financial Services,NYQ,363614752.0
BYND,Consumer Defensive,NMS,8757948416.0
BYSI,Healthcare,NMS,444701088.0
BZH,,,
BZM,Financial Services,NYQ,28340646.0
BZQ,,,
BZUN,Consumer Cyclical,NMS,2657222400.0
C,,,
C PRJ,,,
C PRK,,,
C PRN,,,
C PRS,,,
CAAP,Industrials,NYQ,387253248.0
CAAS,Consumer Cyclical,NCM,99601960.0
CABA,Healthcare,NMS,271824544.0
CABO,Communication Services,NYQ,10669617152.0
CAC,Financial Services,NMS,508014560.0
CACC,Financial Services,NMS,7444735488.0
CACG,,,
CACI,,,
CADE,Financial Services,NYQ,1037663168.0
CAE,Industrials,NYQ,4084961792.0
CAF,Financial Services,NYQ,443319200.0
CAG,Consumer Defensive,NYQ,17247361024.0
CAH,,,
CAI,Industrials,NYQ,287106592.0
CAI PRA,,,
CAI PRB,,,
CAJ,Technology,NYQ,20501553152.0
CAKE,Consumer Cyclical,NMS,980162880.0
CAL,,,
CALA,Healthcare,NMS,362786112.0
CALB,Financial Services,NMS,117365832.0
CALF,,,
CALM,,,
CALT,,,
CALX,Technology,NYQ,818788800.0
CAMP,Technology,NMS,265637584.0
CAMT,Technology,NGM,486736800.0
CAN,Technology,NGM,285148512.0
CANE,,,
CANF,,,
CANG,Communication Services,NYQ,871114176.0
CAPE,,,
CAPL,Energy,NYQ,518006880.0
CAPR,,,
CAR,Industrials,NMS,1802886400.0
CARA,Healthcare,NGM,819867712.0
CARE,,,
CARG,Communication Services,NMS,2962747392.0
CARR,Industrials,NYQ,19843702784.0
CARS,Consumer Cyclical,NYQ,378696672.0
CARV,,,
CARZ,,,
CASA,Technology,NMS,356242016.0
CASH,,,
CASI,Healthcare,NMS,245223456.0
CASS,,,
CASY,Consumer Defensive,NMS,5517076992.0
CAT,Industrials,NYQ,69127045120.0
CATB,,,
CATC,Financial Services,NCM,384817472.0
CATH,,,
CATM,Industrials,NMS,1031097024.0
CATO,,,
CATS,,,
CATY,Financial Services,NMS,1993660928.0
CB,,,
CBAN,,,
CBAT,Industrials,NCM,50983772.0
CBAY,Healthcare,NMS,241088736.0
CBB,,,
CBB PRB,,,
CBD,Consumer Cyclical,NYQ,3535091968.0
CBFV,Financial Services,NGM,113160032.0
CBH,Financial Services,NYQ,162487296.0
CBIO,,,
CBL,Real Estate,NYQ,48011948.0
CBL PRD,,,
CBL PRE,,,
CBLI,,,
CBMB,,,
CBMG,Healthcare,NMS,322865152.0
CBNK,Financial Services,NMS,142643040.0
CBO,,,
CBOE,Financial Services,BTS,10433274880.0
CBON,,,
CBPO,Healthcare,NMS,4009293824.0
CBRE,,,
CBRL,,,
CBSH,Financial Services,NMS,6478951936.0
CBSH P,,,
CBT,Basic Materials,NYQ,2088779520.0
CBTX,Financial Services,NMS,484010592.0
CBU,Financial Services,NYQ,2875638528.0
CBZ,Industrials,NYQ,1301791872.0
CC,Basic Materials,NYQ,2573296128.0
CCAC,,,
CCAC U,,,
CCAC WS,,,
CCAP,Financial Services,NGM,354201216.0
CCB,,,
CCBG,Financial Services,NMS,327157600.0
CCC,,,
CCCL,,,
CCD,Financial Services,NMS,529866208.0
CCEP,Consumer Defensive,NYQ,17168431104.0
CCF,Basic Materials,ASE,952515328.0
CCH,Financial Services,NYQ,761017472.0
CCH U,,,
CCH WS,,,
CCI,Real Estate,NYQ,71147732992.0
CCI PRA,,,
CCJ,Energy,NYQ,4003300096.0
CCK,,,
CCL,,,
CCLP,Energy,NMS,34319956.0
CCM,Healthcare,NYQ,72935520.0
CCMP,Technology,NMS,4032823296.0
CCNC,,,
CCNE,Financial Services,NMS,260822096.0
CCO,Communication Services,NYQ,490670208.0
CCOI,,,
CCOR,,,
CCR,,,
CCRC,Technology,NCM,84499456.0
CCRN,Industrials,NMS,222889968.0
CCS,Consumer Cyclical,NYQ,989308608.0
CCU,,,
CCX,Financial Services,NYQ,974625024.0
CCX U,,,
CCX WS,,,
CCXI,Healthcare,NMS,3935050240.0
CCXX,,,
CCXX U,,,
CCXX WS,,,
CCZ,,,
CDAY,Technology,NYQ,12278927360.0
CDC,,,
CDE,,,
CDEV,Energy,NCM,243685248.0
CDK,Technology,NMS,5075009024.0
CDL,,,
CDLX,Communication Services,NGM,1820312960.0
CDMO,Healthcare,NMS,406881344.0
CDMO P,,,
CDNA,Healthcare,NGM,1671943296.0
CDNS,Technology,NMS,27310073856.0
CDOR,,,
CDR,,,
CDR PRB,,,
CDR PRC,,,
CDTX,Healthcare,NGM,150896464.0
CDW,,,
CDXC,,,
CDXS,Healthcare,NMS,712352064.0
CDZI,,,
CE,Basic Materials,NYQ,10459719680.0
CEA,Industrials,NYQ,8901693440.0
CECE,,,
CEE,Financial Services,NYQ,141495344.0
CEF,,,
CEFA,,,
CEFD,,,
CEFS,,,
CEI,,,
CEIX,Energy,NYQ,134570960.0
CEL,,,
CELC,Healthcare,NCM,72023544.0
CELG RT,,,
CELH,,,
CELP,Energy,NYQ,49813944.0
CEM,Financial Services,NYQ,219694784.0
CEMB,,,
CEMI,,,
CEN,,,
CENT,Consumer Defensive,NMS,1873678208.0
CENT A,,,
CENX,Basic Materials,NMS,622648576.0
CEO,Energy,NYQ,51784355840.0
CEPU,,,
CEQP,,,
CEQP PR,,,
CERC,Healthcare,NCM,195431024.0
CERN,Healthcare,NMS,21277038592.0
CERS,Healthcare,NGM,1108558976.0
CET,Financial Services,NYQ,751822400.0
CETV,,,
CETX,,,
CETX P,,,
CETX W,,,
CEV,Financial Services,NYQ,93735240.0
CEVA,Technology,NMS,813278912.0
CEW,,,
CEY,,,
CEZ,,,
CF,Basic Materials,NYQ,6281355264.0
CFA,,,
CFB,Financial Services,NMS,490910112.0
CFBI,Financial Services,NCM,58673700.0
CFBK,,,
CFCV,,,
CFFA,Financial Services,NCM,389764576.0
CFFA W,,,
CFFI,Financial Services,NMS,125297456.0
CFFN,,,
CFG,Financial Services,NYQ,10136467456.0
CFG PRD,,,
CFG PRE,,,
CFMS,Healthcare,NMS,55757592.0
CFO,,,
CFR,Financial Services,NYQ,4413767680.0
CFRX,,,
CFX,Industrials,NYQ,3319072256.0
CFXA,,,
CG,Financial Services,NMS,9752495104.0
CGA,,,
CGBD,Financial Services,NMS,471866080.0
CGC,Healthcare,NYQ,6076614144.0
CGEN,Healthcare,NGM,1187259904.0
CGIX,,,
CGNX,Technology,NMS,10373388288.0
CGO,,,
CGRO,,,
CGRO U,,,
CGRO W,,,
CGW,,,
CHA,Communication Services,NYQ,23806722048.0
CHAD,,,
CHAP,Energy,NYQ,29821024.0
CHAQ,,,
CHAQ U,,,
CHAQ WS,,,
CHAU,,,
CHCI,,,
CHCO,Financial Services,NMS,1006070208.0
CHCT,,,
CHD,Consumer Defensive,NYQ,19250962432.0
CHDN,Consumer Cyclical,NMS,5210900992.0
CHE,,,
CHEF,Consumer Defensive,NMS,500862944.0
CHEK,,,
CHEK Z,,,
CHEP,,,
CHFS,,,
CHGG,Consumer Defensive,NYQ,8679949312.0
CHGX,,,
CHH,Consumer Cyclical,NYQ,4486676992.0
CHI,,,
CHIC,,,
CHIE,,,
CHIH,,,
CHII,,,
CHIK,,,
CHIL,,,
CHIM,,,
CHIQ,,,
CHIR,,,
CHIS,,,
CHIU,,,
CHIX,,,
CHKP,,,
CHL,Communication Services,NYQ,143970238464.0
CHMA,Healthcare,NMS,190616512.0
CHMG,Financial Services,NMS,131295760.0
CHMI,Real Estate,NYQ,146840096.0
CHMI PRA,,,
CHMI PRB,,,
CHN,Financial Services,NYQ,243180448.0
CHNA,,,
CHNG,Healthcare,NMS,3293268224.0
CHNG U,,,
CHNR,,,
CHPM,Financial Services,NMS,373875008.0
CHPM U,,,
CHRA,Industrials,NYQ,97435528.0
CHRS,Healthcare,NGM,1297700480.0
CHRW,,,
CHS,Consumer Cyclical,NYQ,159022784.0
CHSC L,,,
CHSC M,,,
CHSC N,,,
CHSC O,,,
CHSC P,,,
CHT,,,
CHTR,Communication Services,NMS,106881245184.0
CHU,Communication Services,NYQ,17251164160.0
CHUY,Consumer Cyclical,NMS,284064672.0
CHW,Financial Services,NMS,440945216.0
CHWY,Consumer Cyclical,NYQ,18905587712.0
CHX,Energy,NYQ,1936148992.0
CHY,Financial Services,NMS,843112128.0
CI,Healthcare,NYQ,70287187968.0
CIA,Financial Services,NYQ,306431808.0
CIB,,,
CIBR,,,
CID,,,
CIDM,,,
CIEN,,,
CIF,,,
CIG,Utilities,NYQ,3109828608.0
CIG C,,,
CIGI,Real Estate,NMS,2287954688.0
CIH,,,
CII,Financial Services,NYQ,643289984.0
CIIC,,,
CIIC W,,,
CIK,,,
CIL,,,
CIM,,,
CIM PRA,,,
CIM PRB,,,
CIM PRC,,,
CIM PRD,,,
CINF,Financial Services,NMS,10431225856.0
CINR,Basic Materials,NYQ,246102880.0
CIO,Real Estate,NYQ,473500032.0
CIO PRA,,,
CIR,Industrials,NYQ,499507616.0
CIT,Financial Services,NYQ,1927987456.0
CIT PRB,,,
CIVB,Financial Services,NMS,246194048.0
CIX,Industrials,ASE,172959088.0
CIZ,,,
CIZN,,,
CJJD,,,
CKH,Energy,NYQ,541874432.0
CKPT,Healthcare,NMS,109567408.0
CKX,Energy,ASE,15637045.0
CL,Consumer Defensive,NYQ,62766370816.0
CLAR,,,
CLB,Energy,NYQ,945594048.0
CLBK,Financial Services,NMS,1569513856.0
CLBS,,,
CLCT,,,
CLDB,Financial Services,NCM,55595044.0
CLDR,,,
CLDT,Real Estate,NYQ,277551904.0
CLDX,,,
CLEU,,,
CLF,,,
CLFD,,,
CLGN,,,
CLGX,,,
CLH,Industrials,NYQ,3264722176.0
CLI,,,
CLIR,Industrials,NMS,63035124.0
CLIX,,,
CLLS,,,
CLM,,,
CLMT,,,
CLNC,Real Estate,NYQ,837748288.0
CLNE,Energy,NMS,434000192.0
CLNY,,,
CLNY PRG,,,
CLNY PRH,,,
CLNY PRI,,,
CLNY PRJ,,,
CLOU,,,
CLPR,Real Estate,NYQ,147683856.0
CLPS,Technology,NMS,34381368.0
CLPT,Healthcare,NCM,56451304.0
CLR,Energy,NYQ,6682299392.0
CLRB,,,
CLRB Z,,,
CLRG,,,
CLRO,,,
CLS,Technology,NYQ,881915392.0
CLSD,Healthcare,NMS,105363152.0
CLSK,,,
CLSN,,,
CLTL,,,
CLUB,Consumer Cyclical,NGM,15419490.0
CLVS,Healthcare,NMS,581619840.0
CLW,Basic Materials,NYQ,594895360.0
CLWT,,,
CLX,Consumer Defensive,NYQ,27977498624.0
CLXT,Consumer Defensive,NMS,166524112.0
CM,Financial Services,NYQ,29843441664.0
CMA,,,
CMBM,Technology,NMS,196482608.0
CMBS,,,
CMC,Basic Materials,NYQ,2361138176.0
CMCL,,,
CMCM,Technology,NYQ,239608064.0
CMCO,Industrials,NMS,772596096.0
CMCS A,,,
CMCT,,,
CMCT P,,,
CMD,Healthcare,NYQ,1877130880.0
CMDY,,,
CME,Financial Services,NMS,59263840256.0
CMF,,,
CMFN L,,,
CMG,Consumer Cyclical,NYQ,29465128960.0
CMI,Industrials,NYQ,25588383744.0
CMLS,Communication Services,NMS,82770960.0
CMO,,,
CMO PRE,,,
CMP,Basic Materials,NYQ,1666135680.0
CMPR,Communication Services,NMS,1933375232.0
CMRE,Industrials,NYQ,611653184.0
CMRE PRB,,,
CMRE PRC,,,
CMRE PRD,,,
CMRE PRE,,,
CMRX,Healthcare,NMS,195699760.0
CMS,Utilities,NYQ,17259124736.0
CMS PRB,,,
CMSA,,,
CMSC,,,
CMSD,,,
CMT,Basic Materials,ASE,32853920.0
CMTL,,,
CMU,,,
CN,,,
CNA,Financial Services,NYQ,8485927424.0
CNBK A,,,
CNBS,,,
CNC,,,
CNCE,,,
CNCR,,,
CNDT,Technology,NMS,495491136.0
CNET,,,
CNF,Financial Services,NYQ,252382496.0
CNFR,Financial Services,NMS,25627088.0
CNFR L,,,
CNHI,,,
CNI,Industrials,NYQ,62833000448.0
CNK,Communication Services,NYQ,1442829312.0
CNMD,Healthcare,NYQ,2083384192.0
CNNB,Financial Services,NMS,27345946.0
CNNE,Consumer Cyclical,NYQ,3712096512.0
CNO,Financial Services,NYQ,2132727296.0
CNOB,,,
CNP,Utilities,NYQ,9781704704.0
CNP PRB,,,
CNQ,Energy,NYQ,20899454976.0
CNR,,,
CNRG,,,
CNS,Financial Services,NYQ,3228107520.0
CNSL,,,
CNSP,,,
CNST,Healthcare,NMS,1376242816.0
CNTG,Healthcare,NMS,486601856.0
CNTY,,,
CNX,Energy,NYQ,1640507648.0
CNXM,Energy,NYQ,579204800.0
CNXN,,,
CNXT,,,
CNYA,,,
CO,,,
COCP,,,
CODA,,,
CODI,Industrials,NYQ,1121302016.0
CODI PRA,,,
CODI PRB,,,
CODI PRC,,,
CODX,,,
COE,Consumer Defensive,NYQ,540536832.0
COF,Financial Services,NYQ,27842207744.0
COF PRF,,,
COF PRG,,,
COF PRH,,,
COF PRI,,,
COF PRJ,,,
COFS,Financial Services,NMS,227260880.0
COG,Energy,NYQ,7070737920.0
COHN,,,
COHR,Technology,NMS,3119165440.0
COHU,Technology,NMS,703534720.0
COKE,Consumer Defensive,NMS,2156042496.0
COLB,Financial Services,NMS,1916642048.0
COLD,Real Estate,NYQ,7352314880.0
COLL,Healthcare,NMS,599506560.0
COLM,Consumer Cyclical,NMS,5287544320.0
COM,,,
COMB,,,
COMM,Technology,NMS,1647308800.0
COMT,,,
CONE,Real Estate,NMS,8707968000.0
CONN,Consumer Cyclical,NMS,283823424.0
COO,,,
COOP,Financial Services,NMS,1083406592.0
COP,Energy,NYQ,44806123520.0
COPX,,,
COR,Real Estate,NYQ,4714424832.0
CORE,Consumer Defensive,NMS,1133013632.0
CORN,,,
CORP,,,
CORR,,,
CORR PRA,,,
CORT,,,
COST,Consumer Defensive,NMS,134991544320.0
COTY,Consumer Defensive,NYQ,3395772416.0
COUP,Technology,NMS,19504420864.0
COW,,,
COWN,,,
COWN L,,,
COWN Z,,,
COWZ,,,
CP,Industrials,NYQ,34385059840.0
CPA,Industrials,NYQ,2154973696.0
CPAA,Financial Services,NMS,635625024.0
CPAA U,,,
CPAA W,,,
CPAC,,,
CPAH,,,
CPB,Consumer Defensive,NYQ,14902728704.0
CPE,Energy,NYQ,468456416.0
CPER,,,
CPF,,,
CPG,Energy,NYQ,867699392.0
CPHC,,,
CPHI,Healthcare,ASE,26278498.0
CPI,,,
CPIX,Healthcare,NMS,49347468.0
CPK,Utilities,NYQ,1406411392.0
CPLG,Real Estate,NYQ,252395312.0
CPLP,,,
CPRI,Consumer Cyclical,NYQ,2275757824.0
CPRT,Industrials,NMS,19688482816.0
CPRX,,,
CPS,,,
CPSH,Technology,NMS,26943096.0
CPSI,Healthcare,NMS,325071040.0
CPSS,Financial Services,NGM,67502456.0
CPST,,,
CPT,Real Estate,NYQ,9111950336.0
CPTA,Financial Services,NMS,40340920.0
CPTA G,,,
CPTA L,,,
CPZ,,NMS,
CQP,Energy,ASE,16548472832.0
CQQQ,,,
CR,Industrials,NYQ,3357534976.0
CRAI,Industrials,NMS,296068608.0
CRAK,,,
CRBN,,,
CRBP,Healthcare,NGM,576298688.0
CRC,,,
CRD A,,,
CRD B,,,
CRDF,Healthcare,NCM,74367328.0
CREE,Technology,NMS,6360889856.0
CREG,,,
CRES Y,,,
CREX,,,
CREX W,,,
CRF,,,
CRH,Basic Materials,NYQ,27967995904.0
CRHM,Healthcare,ASE,161086256.0
CRI,Consumer Cyclical,NYQ,3526441728.0
CRIS,,,
CRK,Energy,NYQ,1040817856.0
CRL,Healthcare,NYQ,8755310592.0
CRM,,,
CRMD,,,
CRMT,Consumer Cyclical,NMS,575463488.0
CRNC,Technology,NMS,1521132416.0
CRNT,Technology,NMS,176061856.0
CRNX,Healthcare,NMS,556404480.0
CROC,,,
CRON,Healthcare,NMS,2137436160.0
CROP,,,
CROX,,,
CRS,Industrials,NYQ,1156402944.0
CRSA,Financial Services,NCM,324687520.0
CRSA U,,,
CRSA W,,,
CRSP,Healthcare,NGM,4960615424.0
CRT,Energy,NYQ,42780000.0
CRTO,Communication Services,NMS,701803008.0
CRTX,,,
CRUS,,,
CRVL,Financial Services,NMS,1296446464.0
CRVS,Healthcare,NMS,72678320.0
CRWD,Technology,NMS,23169675264.0
CRWS,Consumer Cyclical,NCM,50628392.0
CRY,Healthcare,NYQ,740466688.0
CS,Financial Services,NYQ,25097529344.0
CSA,,,
CSB,,,
CSBR,,,
CSCO,,,
CSD,,,
CSF,,,
CSGP,Real Estate,NMS,28264808448.0
CSGS,Technology,NMS,1361339520.0
CSII,Healthcare,NMS,1272767360.0
CSIQ,Technology,NMS,1183195776.0
CSL,Industrials,NYQ,6385271808.0
CSLT,Healthcare,NYQ,121766640.0
CSM,,,
CSML,,,
CSOD,,,
CSPI,Technology,NGM,34326552.0
CSPR,,,
CSQ,,,
CSSE,Communication Services,NGM,85972984.0
CSSE P,,,
CSTE,Industrials,NMS,392172512.0
CSTL,Healthcare,NGM,744783040.0
CSTM,,,
CSTR,Financial Services,NMS,247934432.0
CSU,,,
CSV,Consumer Cyclical,NYQ,316269408.0
CSWC,Financial Services,NMS,241354512.0
CSWC L,,,
CSWI,Industrials,NMS,1027323456.0
CSX,Industrials,NMS,52709986304.0
CTA PRA,,,
CTA PRB,,,
CTAA,,,
CTAS,Industrials,NMS,28161132544.0
CTB,Consumer Cyclical,NYQ,1374217984.0
CTBB,,,
CTBI,Financial Services,NMS,564978560.0
CTDD,,,
CTEK,Technology,ASE,16091768.0
CTEST,,,
CTEST A,,,
CTG,Technology,NMS,61628940.0
CTHR,Consumer Cyclical,NCM,20351090.0
CTIB,,,
CTIC,,,
CTK,Technology,NYQ,432649696.0
CTL,,,
CTLT,Healthcare,NYQ,11915539456.0
CTMX,Healthcare,NMS,386214112.0
CTO,,,
CTR,Financial Services,NYQ,103680272.0
CTRA,Energy,NYQ,59655392.0
CTRE,,,
CTRM,Industrials,NCM,23184696.0
CTRN,Consumer Cyclical,NMS,210631360.0
CTS,Technology,NYQ,634552256.0
CTSH,Technology,NMS,30315724800.0
CTSO,,,
CTT,Real Estate,NYQ,433803776.0
CTV,,,
CTVA,Basic Materials,NYQ,20632559616.0
CTXR,,,
CTXR W,,,
CTXS,Technology,NMS,18525057024.0
CTY,,,
CTZ,,,
CUB,Industrials,NYQ,1491373568.0
CUBA,Financial Services,NMS,22939888.0
CUBB,,,
CUBE,Real Estate,NYQ,5532745216.0
CUBI,Financial Services,NYQ,351126880.0
CUBI PRC,,,
CUBI PRD,,,
CUBI PRE,,,
CUBI PRF,,,
CUE,Healthcare,NCM,651215936.0
CUK,Consumer Cyclical,NYQ,9081759744.0
CULP,Consumer Cyclical,NYQ,112530600.0
CURE,,,
CURO,,,
CUT,,,
CUTR,,,
CUZ,,,
CVA,Industrials,NYQ,1229811200.0
CVBF,Financial Services,NMS,2433777664.0
CVCO,Consumer Cyclical,NMS,1717322368.0
CVCY,Financial Services,NMS,186257728.0
CVE,Energy,NYQ,5821477888.0
CVEO,Industrials,NYQ,98971200.0
CVET,Healthcare,NMS,2001612288.0
CVGI,,,
CVGW,Consumer Defensive,NMS,1096761984.0
CVI,,,
CVIA,,,
CVLT,,,
CVLY,Financial Services,NGM,132786456.0
CVM,,,
CVNA,Consumer Cyclical,NYQ,21896370176.0
CVR,,,
CVS,,,
CVTI,Industrials,NMS,238372016.0
CVU,,,
CVV,Industrials,NCM,19568412.0
CVX,,,
CVY,,,
